dish_id,name,restaurant_id,category,price,weight_portion,calories
1,Эпоха Засунуть,1,Напитки,69.6,500g,296
2,Художественный Пища,1,Десерт,145.0,250g,651
3,Да Роса,1,Супы,109.6,350g,702
4,Карман Правый,1,Напитки,129.0,250g,814
5,Приходить Исследование,1,Закуски,26.4,250g,215
6,Проход Премьера,1,Закуски,79.6,350g,698
7,Боец Цвет,1,Салат,58.2,400g,794
8,Танцевать Блин,1,Супы,149.2,350g,960
9,Мера Банк,1,Напитки,108.9,250g,692
10,Правый Войти,1,Супы,65.5,500g,688
11,Рай Печатать,1,Напитки,134.7,350g,967
12,Неправда Домашний,1,Горячее,59.9,250g,1193
13,Четко Палка,1,Гарнир,33.6,1kg,246
14,Актриса Избегать,1,Закуски,37.4,250g,477
15,Июнь Команда,1,Закуски,101.4,400g,280
16,Правильный Угроза,1,Гарнир,93.1,400g,1108
17,Падаль Решение,1,Десерт,66.4,400g,173
18,Мотоцикл Разнообразный,1,Напитки,38.4,500g,696
19,Ход Деловой,2,Горячее,37.8,300g,1040
20,Развернуться Карман,2,Супы,107.9,200g,689
21,Столетие Виднеться,2,Десерт,51.5,400g,367
22,Ярко Палка,2,Закуски,143.0,300g,1189
23,Боец Ломать,2,Десерт,55.7,250g,915
24,Инвалид Чувство,2,Закуски,48.0,400g,151
25,Витрина Головной,2,Десерт,81.3,350g,189
26,Степь Командование,2,Салат,89.3,1kg,779
27,Мелочь Триста,2,Супы,26.8,250g,311
28,Посидеть Кузнец,2,Салат,114.5,1kg,291
29,Песенка Через,2,Закуски,124.0,1kg,407
30,Разнообразный Актриса,2,Супы,112.3,400g,488
31,Реклама Протягивать,2,Горячее,123.0,1kg,1016
32,Конференция Новый,2,Супы,125.4,1kg,561
33,Помолчать Приятель,2,Напитки,78.8,350g,914
34,Сынок Возможно,2,Гарнир,120.9,350g,397
35,Девка Тесно,2,Супы,61.0,200g,842
36,Место Войти,2,Салат,135.4,400g,621
37,Полюбить Скрытый,2,Десерт,60.1,200g,295
38,Космос Падаль,2,Напитки,144.2,200g,618
39,Роса Налево,2,Салат,21.4,1kg,826
40,Приходить Упор,2,Салат,120.2,250g,720
41,Грудь Единый,2,Напитки,114.4,250g,420
42,Каюта Каюта,2,Напитки,131.9,400g,1118
43,Недостаток Поезд,2,Супы,111.8,1kg,983
44,Исследование Умирать,3,Салат,34.8,500g,1032
45,Задрать Райком,3,Горячее,101.7,350g,1106
46,А Багровый,3,Закуски,26.0,500g,351
47,Применяться Неудобно,3,Салат,97.4,500g,844
48,Бабочка Голубчик,3,Закуски,37.3,250g,542
49,Район Смертельный,3,Супы,124.8,350g,437
50,Столетие Коллектив,3,Гарнир,52.5,300g,1097
51,Академик Жидкий,3,Супы,30.4,350g,350
52,Прежде Горький,3,Салат,148.5,400g,180
53,Указанный Встать,3,Салат,63.4,250g,982
54,Кожа Шлем,3,Гарнир,113.5,250g,971
55,Чувство Счастье,3,Салат,48.7,350g,154
56,Неправда Намерение,3,Гарнир,69.3,1kg,1081
57,Изучить Заплакать,3,Горячее,101.6,500g,1146
58,Пастух Сверкать,3,Супы,53.8,300g,595
59,Иной Постоянный,3,Салат,133.6,500g,274
60,Роскошный Присесть,3,Напитки,79.2,200g,252
