restaurant_id,name,address,cuisine,rating
1,Мосинжпроект (Итальянская),"п. Кизилюрт, бул. Кузнечный, д. 196, 133890",Русская,4.5
2,Афанасьев Лимитед (Китайская),"с. Чикола, ш. Лесное, д. 66 к. 3, 511615",Китайская,3.3
3,ЗАО «Лобанов-Кабанова» (Итальянская),"д. Гремячинск (Бурят.), ул. Кирова, д. 4 к. 503, 316475",Тайская,3.2
4,ИП «Рогов Гаврилов» (Американская),"д. Златоуст, бул. Владимирский, д. 77 стр. 9, 503056",Русская,3.1
5,РАО «Родионов-Якушева» (Китайская),"клх Тамбов, бул. Гафури, д. 34 к. 98, 969653",Китайская,4.0
6,ЗАО «Кузнецова Королев» (Русская),"п. Ямбург, ш. Челюскинцев, д. 866, 801845",Тайская,3.4
7,ИП «Беспалов» (Тайская),"г. Кулу, ш. Водопроводное, д. 448 стр. 35, 957015",Американская,3.4
8,АО «Андреев-Трофимов» (Узбекская),"клх Ступино, ш. Кедровое, д. 97, 489638",Грузинская,4.6
9,ГК Агро-Белогорье (Русская),"клх Одинцово, пер. Микрорайон, д. 233 к. 1, 930103",Японская,4.4
10,РАО «Кононова» (Французская),"д. Когалым, бул. Вахитова, д. 38 к. 4/8, 311656",Грузинская,3.3
11,"НПО «Ситникова, Трофимова и Киселев» (Французская)","с. Невельск, алл. Хуторская, д. 88, 624731",Итальянская,3.2
12,"ОАО «Дементьева, Зиновьева и Ильина» (Итальянская)","клх Ульяновск, ул. Азовская, д. 86, 360260",Французская,4.7
13,"ИП «Шашкова, Капустина и Капустина» (Узбекская)","с. Усть-Кулом, бул. Станиславского, д. 53 стр. 90, 500978",Грузинская,4.6
14,Веселов Инк (Мексиканская),"г. Шали, бул. Белорусский, д. 2/4, 916998",Тайская,3.2
15,ИП «Исаков-Денисова» (Американская),"к. Пенза, бул. Чкалова, д. 6/2, 799118",Итальянская,4.1
16,ЗАО «Лобанов Белоусов» (Узбекская),"п. Нязепетровск, алл. Бабушкина, д. 9 к. 284, 411824",Французская,4.2
17,ЗАО «Гаврилов-Рыбакова» (Итальянская),"клх Кулунда, пр. Ударный, д. 516 стр. 305, 278680",Русская,4.3
18,РАО «Сысоева» (Грузинская),"ст. Нязепетровск, пер. Тенистый, д. 3/1 стр. 6, 533158",Итальянская,4.7
19,"ЗАО «Галкина, Никифоров и Уварова» (Итальянская)","ст. Ижевск, ул. Республиканская, д. 7 к. 34, 607337",Американская,3.6
20,ИП «Харитонова-Горбачева» (Французская),"г. Калуга, наб. Медицинская, д. 945 к. 9/6, 142940",Японская,3.7
