history_id,employee_id,change_date,new_salary
1,1,2009-06-21,71333
2,1,2024-01-15,76421
3,2,2023-10-09,34948
4,2,2025-04-02,52156
5,3,2015-03-07,74671
6,4,2025-04-09,33961
7,4,2025-08-13,54458
8,4,2026-02-15,89615
9,5,2019-06-09,93334
10,5,2020-08-07,110808
11,5,2022-04-02,115674
12,6,2004-10-16,30866
13,6,2019-05-11,32061
14,6,2023-10-04,141327
15,7,2016-07-25,30776
16,7,2017-07-22,56957
17,7,2023-08-23,89823
18,8,2022-04-02,88520
19,9,1986-03-15,67576
20,9,2008-04-12,100220
21,9,2025-11-29,119840
22,10,2024-05-13,100589
23,11,2024-05-25,53496
24,11,2025-04-12,86436
25,11,2025-06-22,118346
26,11,2026-01-30,129733
27,12,2020-11-23,147715
28,13,2013-08-07,48675
29,14,2000-05-24,67869
30,15,2019-02-28,74718
31,16,2012-11-17,47519
32,16,2020-07-12,53228
33,16,2025-09-16,74438
34,17,2018-11-09,35178
35,17,2022-08-13,54448
36,17,2023-06-10,68746
37,18,2019-12-24,37969
38,18,2021-02-25,45040
39,18,2021-05-27,48513
40,18,2022-05-10,52847
41,18,2022-07-08,54371
42,19,2013-10-28,32641
43,19,2022-03-16,48326
44,20,2010-06-20,32076
45,20,2016-03-19,72591
46,20,2022-06-24,72953
47,21,2018-12-22,138419
48,22,2009-03-09,66221
49,22,2020-08-29,78469
50,23,1993-06-26,31238
51,23,2018-09-09,105612
52,24,2018-06-02,40837
53,24,2024-02-10,95517
54,24,2026-01-05,123748
55,25,1994-09-29,73420
56,25,2004-04-03,114529
57,25,2013-02-28,132809
58,25,2016-04-02,142056
59,26,1996-12-31,33124
60,26,2008-07-20,47306
61,26,2021-12-08,54662
62,27,2017-03-24,36927
63,27,2022-02-15,37528
64,27,2022-08-16,38883
65,27,2023-06-01,45581
66,27,2024-05-27,47592
67,28,2024-02-24,135932
68,29,2025-03-12,56828
69,30,2022-09-29,34312
70,30,2023-04-17,53508
71,30,2023-07-02,101176
72,30,2024-01-15,103860
73,30,2024-11-16,109163
74,31,1998-08-20,32052
75,31,2001-06-16,57152
76,31,2002-09-02,71220
77,31,2019-07-16,106943
78,31,2026-04-11,133447
79,32,2025-04-28,107839
80,33,2021-10-13,35042
81,33,2021-12-30,56102
82,33,2024-08-10,83798
83,33,2025-06-04,84313
84,34,2008-03-09,66959
85,34,2012-10-25,68864
86,35,2010-01-13,42751
87,35,2025-11-24,48834
